"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (m)"
4.801093629E1,6.500843833E1,2.546655833E1,1.343476590E1,6.356819272E-1,3.539999962E0,3.400000095E0,6.029999924E1
4.901093629E1,6.500844667E1,2.546653500E1,1.353476115E1,5.718563795E-1,3.548299866E2,3.400000095E0,6.259999847E1
5.001093629E1,6.500845167E1,2.546649833E1,1.363475677E1,5.739153028E-1,3.307300110E2,3.400000095E0,3.670000076E1
5.101093629E1,6.500846000E1,2.546644833E1,1.373475022E1,8.359088898E-1,3.152000122E2,3.400000095E0,3.479999924E1
5.201093629E1,6.500848667E1,2.546644167E1,1.373473957E1,6.176666617E-1,3.502699890E2,3.400000095E0,3.440000153E1
5.301093629E1,6.500849000E1,2.546642333E1,1.383473706E1,6.279610991E-1,2.971000061E2,3.400000095E0,3.529999924E1
5.401093629E1,6.500848333E1,2.546634667E1,1.373473446E1,2.949358225E-1,3.042799988E2,3.299999952E0,3.570000076E1
5.501093629E1,6.500849333E1,2.546626833E1,1.343472537E1,5.239872336E-1,2.730899963E2,3.000000000E0,3.640000153E1
5.601093629E1,6.500849167E1,2.546618667E1,1.323472051E1,7.144344449E-1,2.441999969E2,2.900000095E0,3.089999962E1
5.701093629E1,6.500848833E1,2.546619833E1,1.323472257E1,6.068574786E-1,2.283999939E2,2.799999952E0,3.200000000E1
5.801093629E1,6.500848500E1,2.546621167E1,1.323472475E1,5.991366506E-1,2.188300018E2,2.799999952E0,3.359999847E1
5.901093629E1,6.500848167E1,2.546618000E1,1.323472389E1,5.991366506E-1,2.266799927E2,2.799999952E0,3.570000076E1
6.001093629E1,6.500848000E1,2.546608833E1,1.283471837E1,6.068574786E-1,2.391900024E2,2.599999905E0,3.329999924E1
6.101093629E1,6.500847833E1,2.546600500E1,1.253471341E1,5.852391720E-1,2.454499969E2,2.500000000E0,3.390000153E1
6.201093629E1,6.500848167E1,2.546597667E1,1.223471022E1,5.759741664E-1,2.530899963E2,2.500000000E0,3.459999847E1
6.301093629E1,6.500847667E1,2.546585167E1,1.223470374E1,5.811213851E-1,2.491000061E2,2.299999952E0,3.250000000E1
6.401093629E1,6.500847167E1,2.546576000E1,1.243469949E1,6.331083179E-1,2.423500061E2,2.200000048E0,3.309999847E1
6.501093629E1,6.500846833E1,2.546571833E1,1.243469797E1,6.516383290E-1,2.302500000E2,2.099999905E0,3.229999924E1
6.601093629E1,6.500846500E1,2.546567833E1,1.243469656E1,6.516383290E-1,2.306499939E2,2.099999905E0,3.229999924E1
6.701093629E1,6.500846333E1,2.546563833E1,1.233469451E1,6.629621983E-1,2.307400055E2,2.000000000E0,3.320000076E1
6.801093629E1,6.500846000E1,2.546561333E1,1.213469410E1,7.025958300E-1,2.278999939E2,1.899999976E0,3.359999847E1
6.901093629E1,6.500845500E1,2.546560000E1,1.193469512E1,7.061988711E-1,2.377200012E2,1.899999976E0,3.420000076E1
7.001093629E1,6.500845333E1,2.546558500E1,1.173469475E1,7.164933085E-1,2.344900055E2,1.899999976E0,3.529999924E1
7.101093629E1,6.500845167E1,2.546557333E1,1.153469461E1,7.458325028E-1,2.305500031E2,1.899999976E0,3.050000000E1
7.201093629E1,6.500844667E1,2.546555833E1,1.133469552E1,8.132610917E-1,2.259900055E2,1.899999976E0,2.979999924E1
7.301093629E1,6.500843833E1,2.546554167E1,1.103469759E1,8.693658113E-1,2.194499969E2,1.899999976E0,3.039999962E1
7.401093629E1,6.500842833E1,2.546552333E1,1.063470020E1,9.095141888E-1,2.123200073E2,1.899999976E0,2.810000038E1
7.501093629E1,6.500841833E1,2.546550500E1,1.033470280E1,9.440005422E-1,2.026699982E2,2.000000000E0,2.939999962E1
7.601093629E1,6.500840500E1,2.546549000E1,1.003470690E1,1.015032172E0,2.120000000E2,2.000000000E0,2.839999962E1
7.701093629E1,6.500839000E1,2.546546667E1,9.734711086E0,1.102535009E0,2.120000000E2,1.899999976E0,2.900000000E1
7.801093629E1,6.500837667E1,2.546544667E1,9.534714856E0,1.129815221E0,2.120000000E2,1.899999976E0,2.889999962E1
7.901093629E1,6.500836000E1,2.546542167E1,9.334719568E0,1.183346391E0,2.120000000E2,2.000000000E0,2.939999962E1
8.001093629E1,6.500834167E1,2.546539667E1,9.234724921E0,1.257981062E0,2.120000000E2,1.899999976E0,2.620000076E1
8.101093629E1,6.500832333E1,2.546536833E1,9.034730050E0,1.332615852E0,2.120000000E2,1.799999952E0,2.550000000E1
8.201093629E1,6.500830667E1,2.546534333E1,9.134734765E0,1.357837200E0,2.120000000E2,1.799999952E0,2.539999962E1
8.301093629E1,6.500829167E1,2.546532167E1,9.234739065E0,1.359896064E0,2.120000000E2,1.700000048E0,2.650000000E1
8.401093629E1,6.500828500E1,2.546531167E1,9.534740951E0,1.380999684E0,2.120000000E2,1.700000048E0,2.579999924E1
8.501093629E1,6.500827500E1,2.546529667E1,9.834743781E0,1.420633316E0,2.120000000E2,1.700000048E0,2.279999924E1
8.601093629E1,6.500826667E1,2.546528333E1,1.023474608E1,1.394382477E0,2.120000000E2,1.700000048E0,1.860000038E1
8.701093629E1,6.500825833E1,2.546527333E1,1.063474861E1,1.294011712E0,2.120000000E2,1.700000048E0,1.820000076E1
8.801093629E1,6.500825000E1,2.546526000E1,1.093475091E1,1.277025819E0,2.120000000E2,1.700000048E0,1.860000038E1
8.901093629E1,6.500824000E1,2.546524333E1,1.113475363E1,1.247171998E0,2.120000000E2,1.700000048E0,1.850000000E1
9.001093629E1,6.500823000E1,2.546523167E1,1.153475669E1,1.200332165E0,2.120000000E2,1.700000048E0,1.779999924E1
9.101093629E1,6.500821833E1,2.546521500E1,1.183476004E1,1.130329967E0,2.120000000E2,1.799999952E0,1.820000076E1
9.201093629E1,6.500821667E1,2.546521167E1,1.223476046E1,1.065474987E0,2.120000000E2,1.799999952E0,1.839999962E1
9.301093629E1,6.500820833E1,2.546519833E1,1.233476276E1,1.020694137E0,2.120000000E2,1.799999952E0,1.829999924E1
9.401093629E1,6.500820000E1,2.546518500E1,1.213476507E1,9.542949796E-1,2.120000000E2,1.899999976E0,1.879999924E1
9.501093629E1,6.500819167E1,2.546517333E1,1.173476748E1,8.755425215E-1,2.120000000E2,1.899999976E0,1.850000000E1
9.601093629E1,6.500818333E1,2.546516333E1,1.153477001E1,8.019372225E-1,2.120000000E2,1.899999976E0,1.879999924E1
9.701093629E1,6.500817667E1,2.546515167E1,1.143477179E1,7.926722169E-1,2.120000000E2,1.899999976E0,2.179999924E1
9.801093629E1,6.500817000E1,2.546514000E1,1.113477357E1,7.566416860E-1,2.120000000E2,1.899999976E0,2.200000000E1
